STT,GIỐNG NHAU - LOẠI,GIỐNG NHAU - NHU CẦU,GIỐNG NHAU - TỈNH,QUẬN HUYỆN,PHƯỜNG XÃ,GIÁ - TRIỆU ĐỒNG,NGÀY ĐĂNG,HÃNG XE,DÒNG XE,NĂM SẢN XUẤT,DUNG TÍCH,KIỂU XE,SỐ KM ĐÃ ĐI
1882,Xe máy,Cần bán,Hồ Chí Minh,Huyện Hóc Môn,Thị trấn Hóc Môn,11.9,14/11/2019,Yamaha,Nouvo,2012,,Tay ga,24
1883,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,Phường Hiệp Thành,40.5,14/11/2019,Yamaha,Exciter,2010,100 - 175 ,Tay côn/Moto,1111
1884,Xe máy,Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Hưng,18.6,14/11/2019,Honda,Dylan,2003,100 - 175 ,Tay ga,9999
1885,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 11,2.4,14/11/2019,Yamaha,Jupiter,2007,100 - 175 ,Xe số,19
1886,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Tân Thới Hòa,23.5,14/11/2019,Ducati,Dòng khác,2019,100 - 175 ,Tay côn/Moto,1
1887,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 16,33.5,14/11/2019,Honda,Winner,2018,100 - 175 ,Tay côn/Moto,6
1888,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,,8.4,14/11/2019,Honda,Wave,2012,100 - 175 ,Xe số,9685
1889,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,,64.5,14/11/2019,Honda,SH,2013,,Tay ga,17
1890,Xe máy,Cần bán,Hồ Chí Minh,Quận 6,Phường 6,26.8,14/11/2019,Suzuki,Raider,2015,100 - 175 ,Tay côn/Moto,10
1891,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Phú Thạnh,8,14/11/2019,Yamaha,Mio,2010,100 - 175 ,Tay ga,5
1892,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 13,110,14/11/2019,Honda,Rebel,2018,Trên 175 ,Xe số,6
1893,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 5,59,14/11/2019,Honda,SH,2006,100 - 175 ,Tay ga,20
1894,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Tân Thới Hòa,23.5,14/11/2019,Yamaha,Exciter,2012,100 - 175 ,Tay côn/Moto,20
1895,Xe máy,Cần bán,Hồ Chí Minh,Quận 2,,112,14/11/2019,Honda,CBR,2012,Trên 175 ,Tay côn/Moto,22
1896,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 3,9.9,14/11/2019,Yamaha,Sirius,2012,100 - 175 ,Xe số,25
1897,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,,15.7,14/11/2019,Yamaha,Luvias,2014,100 - 175 ,Tay ga,14
1898,Xe máy,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Bình Chiểu,3,14/11/2019,Yamaha,Janus,2019,100 - 175 ,Tay ga,
1899,Xe máy,Cần bán,Hồ Chí Minh,Quận 10,Phường 14,6.5,14/11/2019,Honda,Wave,2010,100 - 175 ,Xe số,90
1900,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 11,16.8,14/11/2019,Piaggio,Liberty,2012,100 - 175 ,Tay ga,19
1901,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 11,13.5,14/11/2019,Honda,Wave,2017,100 - 175 ,Xe số,17
1902,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 12,240,14/11/2019,Honda,SH,2018,,Tay ga,3
1903,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Tây Thạnh,2.8,14/11/2019,SYM,Attila,2004,50 - 100 ,Tay ga,36
1904,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,Phường Thạnh Xuân,37.2,14/11/2019,Honda,Air Blade,2018,100 - 175 ,Tay ga,7
1905,Xe máy,Cần bán,Hồ Chí Minh,Huyện Hóc Môn,Xã Tân Hiệp,54.5,14/11/2019,Honda,Vario,2019,100 - 175 ,Tay ga,
1906,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Bình,,24,14/11/2019,Yamaha,Exciter,2013,100 - 175 ,Tay côn/Moto,22
1907,Xe máy,Cần bán,Hồ Chí Minh,Quận 9,Phường Phước Long A,10.3,14/11/2019,Yamaha,Sirius,2014,100 - 175 ,Xe số,30
1908,Xe máy,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Linh Trung,6.5,14/11/2019,Suzuki,Hayate,2013,100 - 175 ,Tay ga,5
1909,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Tân Sơn Nhì,8.5,14/11/2019,Hãng khác,Dòng khác,2015,50 - 100 ,Xe số,13
1910,Xe máy,Cần bán,Hồ Chí Minh,Huyện Củ Chi,Xã Tân An Hội,10,14/11/2019,Honda,Wave,2003,50 - 100 ,Tay ga,56886
1911,Xe máy,Cần bán,Hồ Chí Minh,Quận 7,,9.9,14/11/2019,Honda,Wave,2007,100 - 175 ,Xe số,35
1912,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Tân Thành,6.1,14/11/2019,Hãng khác,Dòng khác,2019,Dưới 50 ,Tay ga,
1913,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 12,168,14/11/2019,Honda,SH,2011,,Tay ga,2
1914,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,Phường Đông Hưng Thuận,29.5,14/11/2019,Honda,Winner,2017,100 - 175 ,Xe số,29
1915,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 17,8.5,14/11/2019,Suzuki,Hayate,2011,100 - 175 ,Tay ga,42
1916,Xe máy,Cần bán,Hồ Chí Minh,Quận 5,Phường 1,74.5,14/11/2019,Piaggio,Vespa,2019,100 - 175 ,Tay ga,1
1917,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 26,6.3,14/11/2019,Honda,Dòng khác,2011,100 - 175 ,Xe số,60
1918,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 26,6.3,14/11/2019,Honda,Dòng khác,2011,100 - 175 ,Xe số,60
1919,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 5,162,14/11/2019,Honda,SH,2010,100 - 175 ,Tay ga,52652
1920,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 5,162,14/11/2019,Honda,SH,2010,100 - 175 ,Tay ga,52652
1921,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 5,6.8,14/11/2019,Kymco,Dòng khác,2010,100 - 175 ,Tay ga,88888
1922,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 5,6.8,14/11/2019,Kymco,Dòng khác,2010,100 - 175 ,Tay ga,88888
1923,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 3,57.6,14/11/2019,Honda,SH,2015,100 - 175 ,Tay ga,10
1924,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 3,57.6,14/11/2019,Honda,SH,2015,100 - 175 ,Tay ga,10
1925,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,,86,14/11/2019,Piaggio,Liberty,2014,,Tay ga,11
1926,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 3,13.9,14/11/2019,Honda,Click,2010,100 - 175 ,Tay ga,30
1927,Xe máy,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Vĩnh Lộc B,23.5,14/11/2019,Honda,Vision,2016,100 - 175 ,Tay ga,350
1928,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,Phường Tân Thới Nhất,10,14/11/2019,Yamaha,Sirius,2016,,Xe số,20
1929,Xe máy,Cần bán,Hồ Chí Minh,Quận 3,Phường 12,45,14/11/2019,Honda,Click,2017,100 - 175 ,Tay ga,20
1930,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,Phường Thạnh Xuân,32.8,14/11/2019,Honda,SH,2012,,Tay ga,23
1931,Xe máy,Cần bán,Hồ Chí Minh,Quận 1,Phường Cô Giang,78.9,14/11/2019,Honda,SH,2019,100 - 175 ,Tay ga,2
1932,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,Phường Tân Thới Hiệp,3.4,14/11/2019,Honda,Dream,2007,100 - 175 ,Xe số,257
1933,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 17,11.3,14/11/2019,Suzuki,Viva,2003,100 - 175 ,Xe số,12
1934,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông A,26.8,14/11/2019,Honda,Air Blade,2014,100 - 175 ,Tay ga,20
1935,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 17,18.7,14/11/2019,Honda,Air Blade,2013,100 - 175 ,Tay ga,11
1936,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,Phường Hiệp Thành,4.9,14/11/2019,Honda,Wave,2009,100 - 175 ,Xe số,35
1937,Xe máy,Cần bán,Hồ Chí Minh,Huyện Củ Chi,Xã Tân Thạnh Đông,32.5,14/11/2019,Honda,Sonic,2019,100 - 175 ,Tay côn/Moto,10
1938,Xe máy,Cần bán,Hồ Chí Minh,Huyện Củ Chi,Xã Tân Thạnh Đông,32.5,14/11/2019,Honda,Sonic,2019,100 - 175 ,Tay côn/Moto,10
1939,Xe máy,Cần bán,Hồ Chí Minh,Quận 1,Phường Bến Thành,32,14/11/2019,Yamaha,Exciter,2018,100 - 175 ,Xe số,10
1940,Xe máy,Cần bán,Hồ Chí Minh,Quận 1,Phường Bến Thành,32,14/11/2019,Yamaha,Exciter,2018,100 - 175 ,Xe số,10
1941,Xe máy,Cần bán,Hồ Chí Minh,Quận 9,Phường Phước Long B,2.7,14/11/2019,Hãng khác,Dòng khác,2010,100 - 175 ,Xe số,58
1942,Xe máy,Cần bán,Hồ Chí Minh,Quận 9,Phường Phước Long B,2.7,14/11/2019,Hãng khác,Dòng khác,2010,100 - 175 ,Xe số,58
1943,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 5,22.8,14/11/2019,Benelli,TNT,2017,100 - 175 ,Tay ga,23
1944,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 5,22.8,14/11/2019,Benelli,TNT,2017,100 - 175 ,Tay ga,23
1945,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,,3.8,14/11/2019,Hãng khác,Dòng khác,2009,100 - 175 ,Xe số,25
1946,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,,3.8,14/11/2019,Hãng khác,Dòng khác,2009,100 - 175 ,Xe số,25
1947,Xe máy,Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Hưng,27,14/11/2019,Honda,Air Blade,2014,,Tay ga,22
1948,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 11,14,14/11/2019,Honda,Air Blade,2012,100 - 175 ,Tay ga,50
1949,Xe máy,Cần bán,Hồ Chí Minh,Quận 8,Phường 7,10,14/11/2019,Honda,Click,2010,100 - 175 ,Tay ga,100
1950,Xe máy,Cần bán,Hồ Chí Minh,Quận 6,Phường 6,27.9,14/11/2019,Yamaha,Exciter,2016,100 - 175 ,Tay côn/Moto,10
1951,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,,13,14/11/2019,Yamaha,Luvias,2015,100 - 175 ,Tay ga,999999
1952,Xe máy,Cần bán,Hồ Chí Minh,Quận 7,Phường Phú Mỹ,17,14/11/2019,Honda,Wave,2015,100 - 175 ,Xe số,80
1953,Xe máy,Cần bán,Hồ Chí Minh,Quận 7,Phường Phú Mỹ,17,14/11/2019,Honda,Wave,2015,100 - 175 ,Xe số,80
1954,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 1,13,14/11/2019,,,,,,50
1955,Xe máy,Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Hưng,47.5,14/11/2019,Honda,Spacy,2004,100 - 175 ,Tay ga,123
1956,Xe máy,Cần bán,Hồ Chí Minh,Quận 6,Phường 6,25.8,14/11/2019,Yamaha,Exciter,2007,100 - 175 ,Tay côn/Moto,10
1957,Xe máy,Cần bán,Hồ Chí Minh,Quận 6,Phường 6,27.9,14/11/2019,Yamaha,Exciter,2016,100 - 175 ,Tay côn/Moto,10
1958,Xe máy,Cần bán,Hồ Chí Minh,Quận 6,Phường 6,27.9,14/11/2019,Yamaha,Exciter,2016,100 - 175 ,Tay côn/Moto,10
1959,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Phú Thạnh,95,14/11/2019,Piaggio,Vespa,2018,,Tay ga,
1960,Xe máy,Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Hưng,180,14/11/2019,Ducati,Monster,2013,Trên 175 ,Tay côn/Moto,15
1961,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 9,88.888,14/11/2019,Honda,Click,2018,100 - 175 ,Tay ga,5
1962,Xe máy,Cần bán,Hồ Chí Minh,Quận 6,Phường 6,19.9,14/11/2019,Yamaha,Exciter,2013,100 - 175 ,Tay côn/Moto,10
1963,Xe máy,Cần bán,Hồ Chí Minh,Quận 5,Phường 7,84,14/11/2019,Honda,SH,2016,100 - 175 ,Tay ga,30
1964,Xe máy,Cần bán,Hồ Chí Minh,Quận 6,Phường 6,33.8,14/11/2019,Honda,Winner,2018,100 - 175 ,Tay côn/Moto,9
1965,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 13,31,14/11/2019,Piaggio,GTS,2009,100 - 175 ,Tay ga,22
1966,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 10,16.8,14/11/2019,Yamaha,Sirius,2017,100 - 175 ,Xe số,28
1967,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Phú Trung,15,14/11/2019,Hãng khác,Dòng khác,2012,,Tay côn/Moto,20
1968,Xe máy,Cần bán,Hồ Chí Minh,Quận 6,Phường 6,32.9,14/11/2019,Yamaha,Exciter,2017,100 - 175 ,Tay côn/Moto,10
1969,Xe máy,Cần bán,Hồ Chí Minh,Huyện Nhà Bè,Xã Phú Xuân,4.5,14/11/2019,Honda,Future,2010,50 - 100 ,Xe số,1000000
1970,Xe máy,Cần bán,Hồ Chí Minh,Quận 9,Phường Phước Bình,5.9,14/11/2019,Honda,Cub,2003,50 - 100 ,Xe số,35
1971,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,,12,14/11/2019,Honda,67,2019,100 - 175 ,Xe số,1
1972,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,,40.999,14/11/2019,Honda,SH,2012,100 - 175 ,Tay ga,9999
1973,Xe máy,Cần bán,Hồ Chí Minh,Quận 2,Phường Thạnh Mỹ Lợi,21,14/11/2019,Yamaha,Acruzo,2017,100 - 175 ,Tay ga,125
1974,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 10,25.3,14/11/2019,Honda,Vision,2018,100 - 175 ,Tay ga,7
1975,Xe máy,Cần bán,Hồ Chí Minh,Quận 9,Phường Phước Long A,70,14/11/2019,Honda,SH,2019,100 - 175 ,Tay ga,35
1976,Xe máy,Cần bán,Hồ Chí Minh,Quận 9,Phường Phước Bình,2.2,14/11/2019,Hãng khác,Dòng khác,2008,100 - 175 ,Xe số,25
1977,Xe máy,Cần bán,Hồ Chí Minh,Quận 8,Phường 6,20,14/11/2019,Honda,Wave,2019,100 - 175 ,Xe số,
1978,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 8,48.5,14/11/2019,Yamaha,Sirius,2018,100 - 175 ,Xe số,1234
1979,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,,151,14/11/2019,Kawasaki,Z650,2017,Trên 175 ,Tay côn/Moto,58
1980,Xe máy,Cần bán,Hồ Chí Minh,Quận 10,Phường 4,18.5,14/11/2019,Honda,Vision,2013,50 - 100 ,Tay ga,58649
1981,Xe máy,Cần bán,Hồ Chí Minh,Quận 10,Phường 15,38.5,14/11/2019,Honda,SH,2013,100 - 175 ,Tay ga,123456
1982,Xe máy,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Trường Thọ,4.9,14/11/2019,Hãng khác,Dòng khác,2008,100 - 175 ,Xe số,90
1983,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 28,6.2,14/11/2019,Yamaha,Nouvo,2010,100 - 175 ,Tay ga,40
1984,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Hiệp Tân,19.5,14/11/2019,Honda,SH,2008,100 - 175 ,Tay ga,19
1985,Xe máy,Cần bán,Hồ Chí Minh,Quận 3,,103.5,14/11/2019,Honda,SH,2019,100 - 175 ,Tay ga,359
1986,Xe máy,Cần bán,Hồ Chí Minh,Quận 6,,25.3,14/11/2019,Honda,Vision,2015,,Tay ga,19
1987,Xe máy,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Linh Tây,48.8,14/11/2019,Honda,Vario,2018,100 - 175 ,Tay ga,7
1988,Xe máy,Cần bán,Hồ Chí Minh,Huyện Hóc Môn,Xã Xuân Thới Thượng,48,14/11/2019,Suzuki,Raider,2017,100 - 175 ,Tay côn/Moto,13333
1989,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,Phường Tân Thới Nhất,10,14/11/2019,Yamaha,Sirius,2015,,Xe số,20
1990,Xe máy,Cần bán,Hồ Chí Minh,Quận 2,Phường Bình Khánh,15,14/11/2019,SYM,Husky,1998,100 - 175 ,Tay côn/Moto,50
1991,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 7,55,14/11/2019,Honda,Vario,2019,,Tay ga,850
1992,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 7,55,14/11/2019,Honda,Vario,2019,,Tay ga,850
1993,Xe máy,Cần bán,Hồ Chí Minh,Huyện Hóc Môn,Xã Tân Xuân,28.5,14/11/2019,Honda,67,1980,50 - 100 ,Tay côn/Moto,
1994,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,,16.5,14/11/2019,Honda,Air Blade,2008,100 - 175 ,Tay ga,20
1995,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 21,21.5,14/11/2019,Honda,Air Blade,2010,100 - 175 ,Tay ga,38
1996,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường An Lạc A,68,14/11/2019,Suzuki,Sport / Xipo,2019,,Tay côn/Moto,1
1997,Xe máy,Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Hưng,18.5,14/11/2019,Honda,Dream,1993,100 - 175 ,Xe số,1
1998,Xe máy,Cần bán,Hồ Chí Minh,Quận 3,Phường 5,6.2,24/12/2020,Piaggio,Zip,2007,50 - 100 ,Tay ga,20
1999,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Phú Thạnh,13.5,24/12/2020,Honda,Air Blade,2009,100 - 175 ,Tay ga,5
2000,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 12,6,24/12/2020,Honda,Wave,2012,,Xe số,64
2001,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Phú Thạnh,19.5,24/12/2020,Yamaha,Exciter,2014,100 - 175 ,Tay côn/Moto,5
2002,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Phú Thạnh,13,24/12/2020,Honda,Wave,2019,100 - 175 ,Xe số,5
2003,Xe máy,Cần bán,Hồ Chí Minh,Quận 9,Phường Phú Hữu,4,24/12/2020,Hãng khác,Dòng khác,2003,50 - 100 ,Xe số,99999
2004,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,,7.9,24/12/2020,Yamaha,Nouvo,2011,100 - 175 ,Tay ga,123
2005,Xe máy,Cần bán,Hồ Chí Minh,Quận 6,,16.5,24/12/2020,SYM,Shark,2017,100 - 175 ,Tay ga,9
2006,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Hưng Hòa,14,24/12/2020,Honda,Air Blade,2007,100 - 175 ,Tay ga,50
2007,Xe máy,Cần bán,Hồ Chí Minh,Quận 8,Phường 3,27.5,24/12/2020,Honda,Lead,2015,100 - 175 ,Tay ga,10
2008,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 7,245,24/12/2020,Honda,Shadow,2010,Trên 175 ,Tay côn/Moto,20
2009,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Tân Tạo,24.8,24/12/2020,Yamaha,FZ,2015,100 - 175 ,Tay côn/Moto,45
2010,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,,182,24/12/2020,Honda,Shadow,2007,Trên 175 ,Tay côn/Moto,30
2011,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 26,38,24/12/2020,Honda,Dòng khác,2001,,Xe số,2
2012,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Tân Thành,27.9,24/12/2020,Honda,Winner,2019,100 - 175 ,Tay côn/Moto,
2013,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 5,13.8,24/12/2020,Ducati,Monster,2017,100 - 175 ,Tay côn/Moto,14
2014,Xe máy,Cần bán,Hồ Chí Minh,Quận 3,Phường 11,12.7,24/12/2020,Yamaha,Sirius,2012,100 - 175 ,Xe số,37
2015,Xe máy,Cần bán,Hồ Chí Minh,Quận 9,Phường Trường Thạnh,16,24/12/2020,Yamaha,Exciter,2011,100 - 175 ,Tay côn/Moto,580
2016,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Tân Thành,28.9,24/12/2020,Honda,Winner,2018,100 - 175 ,Tay côn/Moto,
2017,Xe máy,Cần bán,Hồ Chí Minh,Quận 10,,32,24/12/2020,Honda,Vision,2020,,Tay ga,1
2018,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 5,93,24/12/2020,Honda,SH,2008,100 - 175 ,Tay ga,27
2019,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Tân Thành,42.9,24/12/2020,Honda,Sonic,2019,100 - 175 ,Tay côn/Moto,
2020,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 15,47,24/12/2020,Honda,Spacy,1999,100 - 175 ,Tay ga,12345
2021,Xe máy,Cần bán,Hồ Chí Minh,Quận 6,Phường 10,34.6,24/12/2020,Honda,PCX,2015,100 - 175 ,Tay ga,19
2022,Xe máy,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,,6.45,24/12/2020,Yamaha,Nouvo,2015,,Tay ga,5
2023,Xe máy,Cần bán,Hồ Chí Minh,Huyện Hóc Môn,Thị trấn Hóc Môn,76.5,24/12/2020,Piaggio,Vespa,2020,100 - 175 ,Tay ga,1
2024,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Tân Thành,39.9,24/12/2020,Honda,Sonic,2019,100 - 175 ,Tay côn/Moto,
2025,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 26,345,24/12/2020,BMW,Dòng khác,1980,Trên 175 ,Tay côn/Moto,68646
2026,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Tân Thành,33.9,24/12/2020,Honda,Winner X,2020,100 - 175 ,Tay côn/Moto,
2027,Xe máy,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,Phường 8,20,24/12/2020,Piaggio,Liberty,2014,100 - 175 ,Tay ga,8
2028,Xe máy,Cần bán,Hồ Chí Minh,Quận 1,Phường Cầu Ông Lãnh,127,24/12/2020,Honda,SH,2010,100 - 175 ,Tay ga,18
2029,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,,13.8,24/12/2020,Yamaha,Sirius,2018,100 - 175 ,Xe số,72
2030,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Tân Thành,22.7,24/12/2020,Honda,Lead,2013,,Tay ga,131
2031,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 11,18.5,24/12/2020,Honda,Future,2014,,Xe số,32
2032,Xe máy,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Hiệp Bình Phước,12.5,24/12/2020,Yamaha,Jupiter,2014,,Xe số,65
2033,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 9,36.9,24/12/2020,Honda,Winner X,2020,100 - 175 ,Tay côn/Moto,9
2034,Xe máy,Cần bán,Hồ Chí Minh,Quận 8,Phường 7,26,24/12/2020,Honda,Air Blade,2009,100 - 175 ,Tay ga,36
2035,Xe máy,Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Quy,8.8,24/12/2020,Honda,Wave,2011,100 - 175 ,Tay ga,35
2036,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 6,15.5,24/12/2020,Suzuki,Axelo,2016,100 - 175 ,Tay côn/Moto,19
2037,Xe máy,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,,13.8,24/12/2020,Honda,Future,2000,100 - 175 ,Xe số,10
2038,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường An Lạc,43.5,24/12/2020,Piaggio,Sprint,2014,100 - 175 ,Tay ga,18
2039,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,Phường An Phú Đông,5,24/12/2020,Yamaha,Nvx,2010,100 - 175 ,Tay ga,68
2040,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Tân Quý,39.8,24/12/2020,Honda,SH Mode,2015,100 - 175 ,Tay ga,1
2041,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,Phường Tân Thới Hiệp,6.5,24/12/2020,Honda,Citi,2002,100 - 175 ,Xe số,
2042,Xe máy,Cần bán,Hồ Chí Minh,Quận 7,Phường Phú Mỹ,43.8,24/12/2020,Yamaha,Exciter,2010,,Tay côn/Moto,386
2043,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Phú Thạnh,47,24/12/2020,Honda,Vario,2019,100 - 175 ,Tay ga,5
2044,Xe máy,Cần bán,Hồ Chí Minh,Quận 1,,75,24/12/2020,Honda,SH Mode,2020,100 - 175 ,Tay ga,600
2045,Xe máy,Cần bán,Hồ Chí Minh,Quận 8,Phường 16,168,24/12/2020,Ducati,Monster,2014,,Tay côn/Moto,16
2046,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Tân Tạo A,148,24/12/2020,Honda,SH,2010,100 - 175 ,Tay ga,16
2047,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Hưng Hoà A,4,24/12/2020,Honda,Dream,2006,100 - 175 ,Xe số,100
2048,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 11,42.5,24/12/2020,Honda,Vario,2019,,Tay ga,11
2049,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,Phường Thạnh Lộc,26.9,24/12/2020,Honda,Air Blade,2016,,Tay ga,28779
2050,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,Phường Đông Hưng Thuận,32.5,24/12/2020,Piaggio,Primavera,2014,100 - 175 ,Tay ga,30
2051,Xe máy,Cần bán,Hồ Chí Minh,Quận 6,Phường 6,5.9,24/12/2020,Suzuki,Hayate,2011,100 - 175 ,Tay ga,4
